date,open,high,low,close,volume
2017-01-02,15.46,16.37,14.64,15.83,0.0
2017-01-03,15.83,16.41,14.9,15.95,0.0
2017-01-04,15.95,16.1,14.89,15.89,0.0
2017-01-05,15.89,15.89,14.44,15.05,0.0
2017-01-06,15.05,15.08,13.92,14.91,0.0
2017-01-09,14.91,15.63,13.82,15.48,0.0
2017-01-10,15.48,15.48,14.02,15.19,0.0
2017-01-11,15.19,15.19,13.53,14.8,0.0
2017-01-12,14.8,14.86,13.46,14.61,0.0
2017-01-13,14.61,14.65,13.37,14.38,0.0
2017-01-16,14.38,15.25,13.42,15.06,0.0
2017-01-17,15.06,15.62,13.98,15.39,0.0
2017-01-18,15.39,15.39,13.61,15.18,0.0
2017-01-19,15.18,15.27,14.03,15.02,0.0
2017-01-20,15.02,15.86,13.85,15.79,0.0
2017-01-23,15.79,16.37,15.5,15.9,0.0
2017-01-24,15.9,15.96,14.38,15.28,0.0
2017-01-25,15.28,15.42,14.41,15.17,0.0
2017-01-27,15.17,16.12,14.93,16.0,0.0
2017-01-30,16.0,16.85,15.39,16.67,0.0
2017-01-31,16.67,17.09,15.71,16.82,0.0
2017-02-01,16.82,17.42,13.8,13.97,0.0
2017-02-02,13.97,13.97,12.64,13.52,0.0
2017-02-03,13.52,13.59,11.78,13.12,0.0
2017-02-06,13.12,13.61,11.06,13.39,0.0
2017-02-07,13.39,13.72,12.24,13.5,0.0
2017-02-08,13.5,13.75,11.43,13.35,0.0
2017-02-09,13.35,13.78,11.39,13.23,0.0
2017-02-10,13.23,13.33,11.37,13.17,0.0
2017-02-13,13.17,13.76,11.57,13.69,0.0
2017-02-14,13.69,14.01,12.09,13.8,0.0
2017-02-15,13.8,14.46,11.72,14.21,0.0
2017-02-16,14.21,14.21,11.43,13.73,0.0
2017-02-17,13.73,13.77,12.46,13.43,0.0
2017-02-20,13.43,13.84,12.41,13.61,0.0
2017-02-21,13.61,14.28,11.89,13.52,0.0
2017-02-22,13.52,14.04,12.72,13.7,0.0
2017-02-23,13.7,13.96,12.91,13.4,0.0
2017-02-27,13.4,14.27,13.4,13.67,0.0
2017-02-28,13.67,14.02,13.16,13.79,0.0
2017-03-01,13.79,13.79,13.2,13.57,0.0
2017-03-02,13.57,13.61,13.03,13.36,0.0
2017-03-03,13.36,13.6,12.56,13.35,0.0
2017-03-06,13.35,13.72,12.81,13.64,0.0
2017-03-07,13.64,14.0,13.09,13.87,0.0
2017-03-08,13.87,14.28,12.68,14.07,0.0
2017-03-09,14.07,14.78,12.6,14.39,0.0
2017-03-10,14.39,14.39,13.57,13.95,0.0
2017-03-14,13.95,13.95,11.08,12.4,0.0
2017-03-15,12.4,12.53,11.2,12.42,0.0
2017-03-16,12.42,12.42,11.34,11.91,0.0
2017-03-17,11.91,12.11,10.38,11.85,0.0
2017-03-20,11.85,12.31,11.44,12.01,0.0
2017-03-21,12.01,12.15,11.03,11.94,0.0
2017-03-22,11.94,12.35,11.58,12.27,0.0
2017-03-23,12.27,12.27,11.23,11.83,0.0
2017-03-24,11.83,12.1,10.7,11.97,0.0
2017-03-27,11.97,12.57,11.33,12.43,0.0
2017-03-28,12.43,12.43,11.46,12.11,0.0
2017-03-29,12.11,12.24,11.45,12.08,0.0
2017-03-30,12.08,12.45,11.75,12.15,0.0
2017-03-31,12.15,12.51,11.48,12.42,0.0
2017-04-03,12.42,12.76,11.41,11.49,0.0
2017-04-05,11.49,11.88,10.89,11.55,0.0
2017-04-06,11.55,11.76,11.03,11.29,0.0
2017-04-07,11.29,11.81,10.3,11.69,0.0
2017-04-10,11.69,11.92,11.24,11.62,0.0
2017-04-11,11.62,11.83,10.23,11.39,0.0
2017-04-12,11.39,12.06,10.79,11.62,0.0
2017-04-13,11.62,11.78,10.58,11.57,0.0
2017-04-17,11.57,12.21,10.69,11.89,0.0
2017-04-18,11.89,12.59,10.76,12.37,0.0
2017-04-19,12.37,12.51,10.74,12.21,0.0
2017-04-20,12.21,12.21,10.85,11.56,0.0
2017-04-21,11.56,11.73,10.55,11.42,0.0
2017-04-24,11.42,11.85,10.96,11.62,0.0
2017-04-25,11.62,11.62,10.97,11.15,0.0
2017-04-26,11.15,11.86,9.91,11.74,0.0
2017-04-27,11.74,11.74,10.36,11.07,0.0
2017-04-28,11.07,11.07,10.53,10.86,0.0
2017-05-02,10.86,11.8,10.35,11.44,0.0
2017-05-03,11.44,11.66,9.94,11.52,0.0
2017-05-04,11.52,11.78,10.6,11.33,0.0
2017-05-05,11.33,12.16,10.45,11.98,0.0
2017-05-08,11.98,11.98,10.61,11.66,0.0
2017-05-09,11.66,11.66,10.54,11.11,0.0
2017-05-10,11.11,11.11,9.95,10.94,0.0
2017-05-11,10.94,11.26,9.89,10.83,0.0
2017-05-12,10.83,10.83,9.46,10.62,0.0
2017-05-15,10.62,11.14,8.83,10.67,0.0
2017-05-16,10.67,11.02,9.06,10.56,0.0
2017-05-17,10.56,10.8,9.24,10.63,0.0
2017-05-18,10.63,12.74,9.81,11.78,0.0
2017-05-19,11.78,11.9,10.39,11.3,0.0
2017-05-22,11.3,11.85,10.2,11.2,0.0
2017-05-23,11.2,12.76,9.86,12.2,0.0
2017-05-24,12.2,12.78,10.45,11.83,0.0
2017-05-25,11.83,11.92,10.19,10.44,0.0
2017-05-26,10.44,11.18,9.88,10.86,0.0
2017-05-29,10.86,11.87,10.26,11.78,0.0
2017-05-30,11.78,12.27,10.86,11.76,0.0
2017-05-31,11.76,12.24,11.02,11.76,0.0
2017-06-01,11.76,11.91,10.61,11.3,0.0
2017-06-02,11.3,11.3,10.31,10.81,0.0
2017-06-05,10.81,11.14,10.05,11.01,0.0
2017-06-06,11.01,11.32,9.49,11.13,0.0
2017-06-07,11.13,11.18,10.22,10.89,0.0
2017-06-08,10.89,11.12,9.52,11.06,0.0
2017-06-09,11.06,11.22,10.27,10.86,0.0
2017-06-12,10.86,11.5,10.35,11.42,0.0
2017-06-13,11.42,11.46,9.9,11.34,0.0
2017-06-14,11.34,11.52,10.44,11.18,0.0
2017-06-15,11.18,11.43,9.88,11.32,0.0
2017-06-16,11.32,11.32,9.71,10.91,0.0
2017-06-19,10.91,10.91,9.74,10.62,0.0
2017-06-20,10.62,10.87,9.82,10.65,0.0
2017-06-21,10.65,11.05,9.77,10.91,0.0
2017-06-22,10.91,11.42,10.07,11.2,0.0
2017-06-23,11.2,11.78,8.75,11.55,0.0
2017-06-27,11.55,12.86,10.93,12.5,0.0
2017-06-28,12.5,12.75,11.09,11.99,0.0
2017-06-29,11.99,11.99,10.59,11.38,0.0
2017-06-30,11.38,12.1,11.07,11.73,0.0
2017-07-03,11.73,11.75,10.45,11.2,0.0
2017-07-04,11.2,11.64,10.42,11.27,0.0
2017-07-05,11.27,11.42,10.45,11.15,0.0
2017-07-06,11.15,11.17,10.28,10.98,0.0
2017-07-07,10.98,11.12,9.61,10.86,0.0
2017-07-10,10.86,11.09,9.57,10.91,0.0
2017-07-11,10.91,11.07,9.89,10.89,0.0
2017-07-12,10.89,11.3,9.67,11.05,0.0
2017-07-13,11.05,11.39,9.86,11.24,0.0
2017-07-14,11.24,11.47,10.06,11.17,0.0
2017-07-17,11.17,11.56,10.48,11.45,0.0
2017-07-18,11.45,11.79,10.28,11.49,0.0
2017-07-19,11.49,11.68,9.07,11.25,0.0
2017-07-20,11.25,11.56,10.37,11.31,0.0
2017-07-21,11.31,11.71,9.0,11.08,0.0
2017-07-24,11.08,11.79,10.35,11.31,0.0
2017-07-25,11.31,11.51,10.23,10.91,0.0
2017-07-26,10.91,11.77,10.9,11.17,0.0
2017-07-27,11.17,11.91,10.81,11.21,0.0
2017-07-28,11.21,12.01,10.98,11.13,0.0
2017-07-31,11.13,12.03,11.13,11.9,0.0
2017-08-01,11.9,12.39,11.58,11.9,0.0
2017-08-02,11.9,12.17,10.92,11.94,0.0
2017-08-03,11.94,12.23,11.2,11.64,0.0
2017-08-04,11.64,11.74,10.74,11.39,0.0
2017-08-07,11.39,12.0,10.64,11.89,0.0
